duration,event_id,memory_spike_kb,record,source,time,timestamp,type
,,,"{'requestId': 'a677db55-db8a-4542-9162-a6813e7534e9', 'metrics': {'durationMs': 1.303, 'billedDurationMs': 2, 'memorySizeMB': 128, 'maxMemoryUsedMB': 34}, 'tracing': {'spanId': '9714e80d0c8b4a7c', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890ef8a-656693e03dd977c368759da9;Parent=65ab43a8ef7609ac;Sampled=1;Lineage=1:5b487513:0'}, 'status': 'success'}",,2025-08-04T17:36:10.225Z,,platform.report
,,,"{'requestId': 'cb545195-3db1-424a-b8ae-36aa45680286', 'functionArn': 'arn:aws:lambda:eu-west-2:714377356052:function:scafad-test-stack-HelloWorldFunction-k79tX3iBcK74', 'version': '$LATEST', 'tracing': {'spanId': '4b8306319941ff75', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890ef8a-7f0668080aba8ac35a8808c5;Parent=1b8e8465a0d1f582;Sampled=1;Lineage=1:5b487513:0'}}",,2025-08-04T17:36:10.863Z,,platform.start
,,,"{'requestId': 'cb545195-3db1-424a-b8ae-36aa45680286', 'metrics': {'durationMs': 1.209, 'billedDurationMs': 2, 'memorySizeMB': 128, 'maxMemoryUsedMB': 34}, 'tracing': {'spanId': '4b8306319941ff75', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890ef8a-7f0668080aba8ac35a8808c5;Parent=1b8e8465a0d1f582;Sampled=1;Lineage=1:5b487513:0'}, 'status': 'success'}",,2025-08-04T17:36:10.865Z,,platform.report
,,,"{'initializationType': 'on-demand', 'phase': 'init', 'runtimeVersion': 'python:3.11.v83', 'runtimeVersionArn': 'arn:aws:lambda:eu-west-2::runtime:26afe95b80f712a3037463ff3166f54bef5aa010c870d7110cc2ce1e1233a3d5', 'functionName': 'scafad-test-stack-HelloWorldFunction-k79tX3iBcK74', 'functionVersion': '$LATEST', 'instanceId': '2025/08/04/[$LATEST]7f99c1e7c2634c70a1ba51df2cf33b65', 'instanceMaxMemory': 134217728}",,2025-08-04T17:47:34.159Z,,platform.initStart
,,,"{'requestId': '745d0b69-8a94-47c4-85d0-7e9878113bc4', 'functionArn': 'arn:aws:lambda:eu-west-2:714377356052:function:scafad-test-stack-HelloWorldFunction-k79tX3iBcK74', 'version': '$LATEST', 'tracing': {'spanId': 'd9fe261733dfe691', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890f235-4123a5e721f349444824d0ce;Parent=6ed0839c3663d25a;Sampled=1;Lineage=1:5b487513:0'}}",,2025-08-04T17:47:34.238Z,,platform.start
,,,"{'requestId': '745d0b69-8a94-47c4-85d0-7e9878113bc4', 'metrics': {'durationMs': 1.418, 'billedDurationMs': 2, 'memorySizeMB': 128, 'maxMemoryUsedMB': 34, 'initDurationMs': 76.103}, 'tracing': {'spanId': 'd9fe261733dfe691', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890f235-4123a5e721f349444824d0ce;Parent=6ed0839c3663d25a;Sampled=1;Lineage=1:5b487513:0'}, 'status': 'success'}",,2025-08-04T17:47:34.240Z,,platform.report
,,,"{'requestId': '1c536c87-95f8-4941-adaa-40ea6a4f817c', 'functionArn': 'arn:aws:lambda:eu-west-2:714377356052:function:scafad-test-stack-HelloWorldFunction-k79tX3iBcK74', 'version': '$LATEST', 'tracing': {'spanId': '44c4663ef2cef17b', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890f23a-06c6004e2b4780356a3f2899;Parent=11594f9243adc317;Sampled=1;Lineage=1:5b487513:0'}}",,2025-08-04T17:47:38.717Z,,platform.start
,,,"{'requestId': '1c536c87-95f8-4941-adaa-40ea6a4f817c', 'metrics': {'durationMs': 2.063, 'billedDurationMs': 3, 'memorySizeMB': 128, 'maxMemoryUsedMB': 34}, 'tracing': {'spanId': '44c4663ef2cef17b', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890f23a-06c6004e2b4780356a3f2899;Parent=11594f9243adc317;Sampled=1;Lineage=1:5b487513:0'}, 'status': 'success'}",,2025-08-04T17:47:38.720Z,,platform.report
,,,"{'requestId': '1577bbf2-aaf7-4523-b6bd-1a3e3314858b', 'functionArn': 'arn:aws:lambda:eu-west-2:714377356052:function:scafad-test-stack-HelloWorldFunction-k79tX3iBcK74', 'version': '$LATEST', 'tracing': {'spanId': '8f455d9175d9fd88', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890f23e-4a88fccd29e8cb103bc7b471;Parent=203dd17ad4b7a256;Sampled=1;Lineage=1:5b487513:0'}}",,2025-08-04T17:47:42.447Z,,platform.start
,,,"{'requestId': '1577bbf2-aaf7-4523-b6bd-1a3e3314858b', 'metrics': {'durationMs': 1.214, 'billedDurationMs': 2, 'memorySizeMB': 128, 'maxMemoryUsedMB': 34}, 'tracing': {'spanId': '8f455d9175d9fd88', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890f23e-4a88fccd29e8cb103bc7b471;Parent=203dd17ad4b7a256;Sampled=1;Lineage=1:5b487513:0'}, 'status': 'success'}",,2025-08-04T17:47:42.448Z,,platform.report
